Entity,Code,Year,Cantril_ladder_score,"GDP_per_capita, PPP (constant 2017 international $)",Population,Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2015,2.6617181,2068.265869,33753500,Asia
Africa,,2015,,,1201108186,
Africa (UN),,2015,,,1201107968,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,2015,4.6395483,11878.4541,2882482,Europe
Algeria,DZA,2015,5.2489123,11696.9502,39543148,Africa
American Samoa,ASM,2015,,,51391,Oceania
Andorra,AND,2015,,,71766,Europe
Angola,AGO,2015,,8036.411133,28127724,Africa
Anguilla,AIA,2015,,,14554,North America
Antarctica,ATA,2015,,,,Antarctica
Antigua and Barbuda,ATG,2015,,18594.54492,89958,North America
Argentina,ARG,2015,6.03933,23933.88672,43257064,South America
Armenia,ARM,2015,4.2877364,11321.33301,2878598,Asia
Aruba,ABW,2015,,37715.92578,104269,North America
Asia,,2015,,,4458250376,
Asia (UN),,2015,,,4459437568,
Australia,AUS,2015,7.2570376,47569.29297,23820240,Oceania
Austria,AUT,2015,7.293728,52873.85938,8642422,Europe
Austria-Hungary,OWID_AUH,2015,,,,Europe
Azerbaijan,AZE,2015,5.1522794,14852.61133,9863485,Asia
Baden,OWID_BAD,2015,,,,Europe
Bahamas,BHS,2015,,36023.59375,392707,North America
Bahrain,BHR,2015,6.2273207,48110.73438,1362157,Asia
Bangladesh,BGD,2015,4.309771,3700.11084,157830000,Asia
Barbados,BRB,2015,,15382.76563,278095,North America
Bavaria,OWID_BAV,2015,,,,Europe
Belarus,BLR,2015,5.552915,18362.74609,9700609,Europe
Belgium,BEL,2015,6.9283476,49456.39844,11248306,Europe
Belize,BLZ,2015,,7358.618652,359884,North America
Benin,BEN,2015,4.853181,2945.970215,10932791,Africa
Bermuda,BMU,2015,,77842.75,63165,North America
Bhutan,BTN,2015,,10086.07324,743284,Asia
Bolivia,BOL,2015,5.6505527,7984.412109,11090090,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,23193,North America
Bosnia and Herzegovina,BIH,2015,5.0899024,12630.66699,3524328,Europe
Botswana,BWA,2015,3.5048811,14895.90527,2305177,Africa
Bouvet Island,BVT,2015,,,,Antarctica
Brazil,BRA,2015,6.332929,15064.17578,205188208,South America
British Indian Ocean Territory,IOT,2015,,,,Asia
British Virgin Islands,VGB,2015,,,29394,North America
Brunei,BRN,2015,,63147.48438,421449,Asia
Bulgaria,BGR,2015,5.096902,19988.22461,7309255,Europe
Burkina Faso,BFA,2015,4.646891,1925.332031,18718022,Africa
Burundi,BDI,2015,,825.2056885,10727153,Africa
Cambodia,KHM,2015,4.585842,3541.376709,15417527,Asia
Cameroon,CMR,2015,5.0740514,3570.424561,23012650,Africa
Canada,CAN,2015,7.4148684,47522.14063,35732120,North America
Cape Verde,CPV,2015,,6266.881836,552169,Africa
Cayman Islands,CYM,2015,,67241.28125,60935,North America
Central African Republic,CAF,2015,3.475862,852.7492065,4819341,Africa
Chad,TCD,2015,4.558937,1857.10791,14140277,Africa
Channel Islands,OWID_CIS,2015,,,,Europe
Chile,CHL,2015,6.3201194,24440.41602,17870122,South America
China,CHN,2015,5.0990615,12612.35156,1393715456,Asia
Christmas Island,CXR,2015,,,,Asia
Cocos Islands,CCK,2015,,,,Asia
Colombia,COL,2015,6.157342,14095.74805,47119728,South America
Comoros,COM,2015,,2959.498047,730221,Africa
Congo,COG,2015,4.8839912,5224.302246,5064390,Africa
Cook Islands,COK,2015,,,17720,Oceania
Costa Rica,CRI,2015,7.2251816,19141.68359,4895241,North America
Cote d'Ivoire,CIV,2015,5.037735,4417.150391,23596738,Africa
Croatia,HRV,2015,5.343166,24884.66602,4254821,Europe
Cuba,CUB,2015,,,11339888,North America
Curacao,CUW,2015,,26548.69922,169588,North America
Cyprus,CYP,2015,6.0620513,34453.11719,1187286,Europe
Czechia,CZE,2015,6.789568,36168.41797,10523801,Europe
Czechoslovakia,OWID_CZS,2015,,,,Europe
Democratic Republic of Congo,COD,2015,4.3110332,1065.242432,78656904,Africa
Denmark,DNK,2015,7.5937023,52892.64453,5677795,Europe
Djibouti,DJI,2015,,4488.802734,1006266,Africa
Dominica,DMA,2015,,11873.74219,70027,North America
Dominican Republic,DOM,2015,5.6052027,15328.35938,10405832,North America
East Asia and Pacific,,2015,,14927.71191,,
East Germany,OWID_GDR,2015,,,,Europe
Ecuador,ECU,2015,5.8395185,11896.375,16195904,South America
Egypt,EGY,2015,3.9293442,10570.44531,97723792,Africa
El Salvador,SLV,2015,6.3393183,8143.326172,6231072,North America
Equatorial Guinea,GNQ,2015,,28313.43359,1346974,Africa
Eritrea,ERI,2015,,,3340005,Africa
Eritrea and Ethiopia,OWID_ERE,2015,,,,Africa
Estonia,EST,2015,5.938396,31038.80469,1314658,Europe
Eswatini,SWZ,2015,,8307.782227,1133941,Africa
Ethiopia,ETH,2015,4.1803155,1779.084106,102471896,Africa
Europe,,2015,,,743296857,
Europe (UN),,2015,,,742107456,
Europe and Central Asia,,2015,,32724.41016,,
European Union,,2015,,40752.17578,,
European Union (27),,2015,,,442703856,
Faeroe Islands,FRO,2015,,,48848,Europe
Falkland Islands,FLK,2015,,,3431,South America
Fiji,FJI,2015,,12569.06445,917209,Oceania
Finland,FIN,2015,7.788252,45072.58984,5479457,Europe
France,FRA,2015,6.6352224,43345.78516,63809768,Europe
French Guiana,GUF,2015,,,257033,South America
French Polynesia,PYF,2015,,,291796,Oceania
French Southern Territories,ATF,2015,,,,Antarctica
Gabon,GAB,2015,4.782383,15510.03906,2028524,Africa
Gambia,GMB,2015,4.117939,2058.658203,2253137,Africa
Georgia,GEO,2015,4.4507747,12605.13965,3771135,Asia
Germany,DEU,2015,7.0743246,51159.29688,82073232,Europe
Ghana,GHA,2015,5.481311,4785.994629,28870946,Africa
Gibraltar,GIB,2015,,,32546,Europe
Greece,GRC,2015,5.1482415,28260.38672,10806644,Europe
Greenland,GRL,2015,,,55916,North America
Grenada,GRD,2015,,15142.0625,118994,North America
Guadeloupe,GLP,2015,,,399094,North America
Guam,GUM,2015,,,167996,Oceania
Guatemala,GTM,2015,6.3251185,8125.655762,16001105,North America
Guernsey,GGY,2015,,,61657,Europe
Guinea,GIN,2015,4.8737226,2087.935059,11626003,Africa
Guinea-Bissau,GNB,2015,,1800.063354,1788931,Africa
Guyana,GUY,2015,,11261.7793,755043,South America
Haiti,HTI,2015,3.8238657,3102.344971,10563762,North America
Hanover,OWID_HAN,2015,,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,,Europe
High income,,2015,,47400.47266,,
High-income countries,,2015,,,1189869736,
Honduras,HND,2015,6.0199857,5283.416992,9294510,North America
Hong Kong,HKG,2015,5.362475,57215.94922,7399845,Asia
Hungary,HUN,2015,6.0650387,27531.64453,9844250,Europe
Iceland,ISL,2015,7.476214,52142.93359,331068,Europe
India,IND,2015,4.046111,5464.394043,1322866560,Asia
Indonesia,IDN,2015,5.0984015,10149.60352,259091968,Asia
Iran,IRN,2015,4.716783,12698.10938,81790848,Asia
Iraq,IRQ,2015,4.462399,9946.976563,37757812,Asia
Ireland,IRL,2015,7.0601554,71508.73438,4665764,Europe
Isle of Man,IMN,2015,,,83614,Europe
Israel,ISR,2015,7.331036,37306.13281,8007777,Asia
Italy,ITA,2015,6.19887,40247.82813,60232908,Europe
Jamaica,JAM,2015,5.889759,9473.106445,2794455,North America
Japan,JPN,2015,5.9106765,40402.58203,127250936,Asia
Jersey,JEY,2015,,,100572,Europe
Jordan,JOR,2015,4.8080826,10145.83691,9494250,Asia
Kazakhstan,KAZ,2015,5.8823514,24290.41797,17835908,Asia
Kenya,KEN,2015,4.475654,4075.501953,46851496,Africa
Kiribati,KIR,2015,,2168.999268,116717,Oceania
Kosovo,OWID_KOS,2015,6.1492,9445.105469,1759122,Europe
Kuwait,KWT,2015,6.0939054,54834.39063,3908745,Asia
Kyrgyzstan,KGZ,2015,5.6295366,4805.141113,5914985,Asia
Laos,LAO,2015,4.623141,6543.670898,6787420,Asia
Latin America and Caribbean,,2015,,15917.48242,,
Latin America and the Caribbean (UN),,2015,,,623076480,
Latvia,LVA,2015,5.9778175,26628.45898,1991951,Europe
Lebanon,LBN,2015,5.15399,16358.37598,6398941,Asia
Lesotho,LSO,2015,3.7953007,2701.421875,2118532,Africa
Liberia,LBR,2015,4.424491,1630.584351,4612330,Africa
Libya,LBY,2015,5.6468525,11022.42969,6192241,Africa
Liechtenstein,LIE,2015,,,37378,Europe
Lithuania,LTU,2015,6.2729406,30748.19727,2963764,Europe
Low and middle income,,2015,,9321.670898,,
Low income,,2015,,1888.640381,,
Low-income countries,,2015,,,593799102,
Lower middle income,,2015,,6188.237305,,
Lower-middle-income countries,,2015,,,3144964232,
Luxembourg,LUX,2015,7.061381,113182.7266,569415,Europe
Macao,MAC,2015,,119406.9219,615243,Asia
Madagascar,MDG,2015,4.0786204,1546.767212,24850912,Africa
Malawi,MWI,2015,3.416863,1457.503662,16938944,Africa
Malaysia,MYS,2015,,24787.82422,31068834,Asia
Maldives,MDV,2015,,17283.97266,435590,Asia
Mali,MLI,2015,4.7418504,2139.736328,18112910,Africa
Malta,MLT,2015,6.675666,39845.14063,456585,Europe
Marshall Islands,MHL,2015,,3586.056396,49426,Oceania
Martinique,MTQ,2015,,,383523,North America
Mauritania,MRT,2015,4.6781597,5024.467285,3946225,Africa
Mauritius,MUS,2015,6.1741176,19897.47461,1293159,Africa
Mayotte,MYT,2015,,,249555,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,,,Europe
Mexico,MEX,2015,6.4102993,19268.91406,120149896,North America
Micronesia (country),FSM,2015,,3448.303711,109477,Oceania
Middle East and North Africa,,2015,,15727.98242,,
Middle income,,2015,,10112.69238,,
Modena,OWID_MOD,2015,,,,Europe
Moldova,MDA,2015,5.3255305,10360.83008,3277390,Europe
Monaco,MCO,2015,,,36781,Europe
Mongolia,MNG,2015,5.3338504,11009.71484,2964756,Asia
Montenegro,MNE,2015,5.6147985,18263.58984,633969,Europe
Montserrat,MSR,2015,,,5083,North America
Morocco,MAR,2015,5.312483,7126.28418,34680456,Africa
Mozambique,MOZ,2015,4.2798634,1262.613159,26843252,Africa
Myanmar,MMR,2015,4.1543417,3663.142334,51483956,Asia
Nagorno-Karabakh,OWID_NAG,2015,,,,Asia
Namibia,NAM,2015,4.441306,10662.83008,2282709,Africa
Nauru,NRU,2015,,13551.96289,11207,Oceania
Nepal,NPL,2015,4.7366924,3331.871826,27610328,Asia
Netherlands,NLD,2015,7.4589653,52974.11719,17041110,Europe
Netherlands Antilles,ANT,2015,,,,North America
New Caledonia,NCL,2015,,,283041,Oceania
New Zealand,NZL,2015,7.327183,41086.11719,4590591,Oceania
Nicaragua,NIC,2015,6.4763565,5630.295898,6298610,North America
Niger,NER,2015,4.6156735,1131.519165,20128132,Africa
Nigeria,NGA,2015,5.321928,5514.770508,183995776,Africa
Niue,NIU,2015,,,1871,Oceania
Norfolk Island,NFK,2015,,,,Oceania
North America,,2015,,57440.39844,570726015,
North Korea,PRK,2015,,,25258012,Asia
North Macedonia,MKD,2015,5.2338667,15139.25195,2107965,Europe
Northern America (UN),,2015,,,360464928,
Northern Cyprus,OWID_CYN,2015,,,,Asia
Northern Mariana Islands,MNP,2015,,,51538,Oceania
Norway,NOR,2015,7.578745,62987.51563,5190357,Europe
Oceania,,2015,,,40403644,
Oceania (UN),,2015,,,40403288,
Oman,OMN,2015,,34564.92188,4191784,Asia
Pakistan,PAK,2015,5.8308706,4278.34668,210969296,Asia
Palau,PLW,2015,,18539.15625,17822,Oceania
Palestine,PSE,2015,4.628133,6048.976563,4484615,Asia
Panama,PAN,2015,6.567659,28430.98438,3957102,North America
Papua New Guinea,PNG,2015,,4083.752441,8682172,Oceania
Paraguay,PRY,2015,5.7132955,11828.13965,6177954,South America
Parma,OWID_PMA,2015,,,,Europe
Peru,PER,2015,5.7109365,12110.2666,30711864,South America
Philippines,PHL,2015,5.59427,7300.13623,103031360,Asia
Pitcairn,PCN,2015,,,,Oceania
Poland,POL,2015,6.201268,27797.05859,38553148,Europe
Portugal,PRT,2015,5.711499,31118.79102,10365436,Europe
Puerto Rico,PRI,2015,,34311.03906,3497335,North America
Qatar,QAT,2015,,95965.25,2414580,Asia
Republic of Vietnam,OWID_RVN,2015,,,,Asia
Reunion,REU,2015,,,922501,Africa
Romania,ROU,2015,6.089905,23878.17188,19906078,Europe
Russia,RUS,2015,5.578743,25488.0957,144668384,Europe
Rwanda,RWA,2015,3.1083739,1889.158081,11642963,Africa
Saint Barthlemy,,2015,,,9668,
Saint Barthélemy,BLM,2015,,,,North America
Saint Helena,SHN,2015,,,5520,Africa
Saint Kitts and Nevis,KNA,2015,,23966.49805,47814,North America
Saint Lucia,LCA,2015,,14057.60742,175638,North America
Saint Martin (French part),MAF,2015,,,35042,North America
Saint Pierre and Miquelon,SPM,2015,,,6001,North America
Saint Vincent and the Grenadines,VCT,2015,,11973.35352,106493,North America
Samoa,WSM,2015,,5996.842285,203586,Oceania
San Marino,SMR,2015,,58061.85547,33593,Europe
Sao Tome and Principe,STP,2015,,3794.358643,201142,Africa
Saudi Arabia,SAU,2015,6.2942824,48921.21484,32749838,Asia
Saxony,OWID_SAX,2015,,,,Europe
Senegal,SEN,2015,4.683025,2966.455322,14356191,Africa
Serbia,SRB,2015,5.122031,15578.20898,7519501,Europe
Serbia and Montenegro,OWID_SRM,2015,,,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,,,Europe
Seychelles,SYC,2015,,25583.55273,99260,Africa
Sierra Leone,SLE,2015,4.0895624,1543.712036,7314779,Africa
Singapore,SGP,2015,6.378438,89519.73438,5650020,Asia
Sint Maarten (Dutch part),SXM,2015,,41852.40234,40228,North America
Slovakia,SVK,2015,6.365509,28719.86328,5424449,Europe
Slovenia,SVN,2015,6.1668377,33799.72656,2080865,Europe
Solomon Islands,SLB,2015,,2518.647461,612670,Oceania
Somalia,SOM,2015,,1026.038208,13763909,Africa
Somaliland,OWID_SML,2015,,,,Africa
South Africa,ZAF,2015,4.513655,14010.10449,55876504,Africa
South America,,2015,,,413134461,
South Asia,,2015,,5153.892578,,
South Georgia and the South Sandwich Islands,SGS,2015,,,,South America
South Korea,KOR,2015,5.873887,38828.74219,50994396,Asia
South Ossetia,OWID_SOS,2015,,,,Asia
South Sudan,SSD,2015,2.8166225,,11194300,Africa
Spain,ESP,2015,6.230173,37377.06641,46431344,Europe
Sri Lanka,LKA,2015,4.3309455,11890.5166,21336692,Asia
Sub-Saharan Africa,,2015,,3922.398682,,
Sudan,SDN,2015,,4630.155273,38171172,Africa
Suriname,SUR,2015,,19317.05469,575478,South America
Svalbard and Jan Mayen,SJM,2015,,,2400,Europe
Sweden,SWE,2015,7.2868047,50928.96484,9849344,Europe
Switzerland,CHE,2015,7.473593,68025.92188,8281735,Europe
Syria,SYR,2015,,,19205178,Asia
Taiwan,TWN,2015,6.359451,,23512136,Asia
Tajikistan,TJK,2015,5.829234,2984.494873,8524066,Asia
Tanzania,TZA,2015,3.3471212,2354.138916,52542824,Africa
Thailand,THA,2015,5.938895,16285.38672,70294408,Asia
Timor,TLS,2015,,3295.303711,1205822,Asia
Togo,TGO,2015,4.360805,1920.46936,7473232,Africa
Tokelau,TKL,2015,,,1480,Oceania
Tonga,TON,2015,,5944.452637,106140,Oceania
Transnistria,OWID_TRS,2015,,,,Europe
Trinidad and Tobago,TTO,2015,6.1918597,29053.33398,1460180,North America
Tunisia,TUN,2015,4.124343,11112.85352,11557779,Africa
Turkey,TUR,2015,5.607262,25958.64063,79646176,Asia
Turkmenistan,TKM,2015,5.229149,12993.53223,5766427,Asia
Turks and Caicos Islands,TCA,2015,,26693.10352,36556,North America
Tuscany,OWID_TUS,2015,,,,Europe
Tuvalu,TUV,2015,,3720.30542,10896,Oceania
Two Sicilies,OWID_SIC,2015,,,,Europe
USSR,OWID_USS,2015,,,,Europe
Uganda,UGA,2015,4.000517,2067.588867,37477356,Africa
Ukraine,UKR,2015,4.311067,11216.11816,44982568,Europe
United Arab Emirates,ARE,2015,7.0394197,65267.41406,8916909,Asia
United Kingdom,GBR,2015,7.1032734,45041.05859,65224368,Europe
United Korea,OWID_KRU,2015,,,,Asia
United States,USA,2015,6.9917593,58540.29688,324607776,North America
United States Minor Outlying Islands,UMI,2015,,,,Oceania
United States Virgin Islands,VIR,2015,,,102808,North America
Upper middle income,,2015,,15089.81348,,
Upper-middle-income countries,,2015,,,2464672367,
Uruguay,URY,2015,6.33601,22425.83008,3402820,South America
Uzbekistan,UZB,2015,6.4214478,6401.115234,30949416,Asia
Vanuatu,VUT,2015,,2915.700439,276450,Oceania
Vatican,VAT,2015,,,,Europe
Venezuela,VEN,2015,5.0707507,,30529722,South America
Vietnam,VNM,2015,5.1752787,6438.259766,92191400,Asia
Wallis and Futuna,WLF,2015,,,12208,Oceania
West Germany,OWID_GFR,2015,,,,Europe
Western Sahara,ESH,2015,,,491837,Africa
World,OWID_WRL,2015,,15480.76465,7426597376,
Wuerttemburg,OWID_WRT,2015,,,,Europe
Yemen,YEM,2015,3.25356,,28516552,Asia
Yemen Arab Republic,OWID_YAR,2015,,,,Asia
Yemen People's Republic,OWID_YPR,2015,,,,Asia
Yugoslavia,OWID_YGS,2015,,,,Europe
Zambia,ZMB,2015,3.9327774,3443.553223,16248231,Africa
Zanzibar,OWID_ZAN,2015,,,,Africa
Zimbabwe,ZWE,2015,3.6383002,3707.622559,14154937,Africa
Åland Islands,ALA,2015,,,,Europe
